选法,n,RankIC中位,RankIC均值,RankIC_25,RankIC_75,多头超额中位,多头超额均值,多头超额_25,多头超额_75,BRC中位
BRC 前35,35,0.02221532072781528,0.02244409880930629,0.015682003717119287,0.02835150478479786,0.08442513271593362,0.0845063710771546,0.07617821730844396,0.09568101897913482,0.0179460647983944
BRC方向无关版前35,35,0.023070589276673596,0.0249897951230003,0.018701003190613852,0.029982245418124883,0.08465737351065214,0.08783225379534285,0.07795817277531591,0.10194896954320297,-0.019954445062836428
ssm1(纯SSM排序)前35,35,0.009703765410895326,0.00970624477368468,0.005286903309171579,0.011988819741178066,0.07359291792657713,0.07536041908641328,0.06525272561272065,0.0843298703203384,-0.014245881281770772
ssm2(SSM>=0.5+|IC|),35,0.018658924039897558,0.020910696720707774,0.016094444393114346,0.023114277285967516,0.0925778474142902,0.09014175663566484,0.08204711758265776,0.0969608747829431,-0.01580859069837678
ssm3(SSM>=0.9+|IC|),35,0.017095569603641274,0.01832093717070473,0.014426879112079504,0.01963545446983857,0.08854291667866927,0.08893064099288565,0.08002896750342042,0.09600863045897776,-0.013066521935114983
|IC|前35,35,0.023327856804038666,0.027125671217299745,0.022137782634048163,0.03114073451413337,0.07819806560579126,0.07716606542670297,0.06553627680268352,0.08879937014490871,-0.021001728021554623
多头超额前35,35,0.006912705198835323,0.009699094164308825,0.003789200560587772,0.011035322776405948,0.11450708587872646,0.11670406580903574,0.11222962167276482,0.120413283956839,-0.018537200275884434
