factor,folder,nd,ic,lambda,lambda_short,lambda_long,ssm,gamma,share,share_ic,resid_mean,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,gsd1,gsd2,gsd3,gsd4,gsd5,gsd6,gsd7,gsd8,gsd9,gsd10
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_capm_cooks_distance_mean,hm100,1217,0.026285838249345096,0.5963047774370933,0.13726408268265003,1.0,0.13726408268265003,0.9636363636363636,0.3733908009421106,0.3733908009421106,0.00012744030592175214,-4.651277561698676,-13.462361308100343,-7.649785310974552,-4.063213980158192,-1.8475335570429667,0.36542835640171145,3.9119163799693406,6.691256275395755,10.51471488475378,21.378712582952616,0.0012289298700291914,0.0048839949990913,0.002397920402689659,0.0010342527911588856,0.00022220709648826772,-0.00014920645362398712,5.7829244656182776e-05,0.0008116320055673962,0.0034256739475257204,0.012245164039840736,510.36593603736185,546.8931479290402,546.9591074464129,545.2001069914606,541.3650539281272,539.7837245860343,538.5037644898711,530.5706838452492,506.5152531957827,443.81169192621405
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_corr_microcapm_price_log_return_3s_rolling_alpha_mean,hm100,1217,0.0257749025869033,0.3616010556325477,1.0,-0.9079001392075172,-0.9079001392075172,0.40606060606060607,0.8077552438506608,0.8077552438506608,0.00025325939631999503,-32.475953546811056,-13.172255455158862,1.6776454165858812,9.09877093710388,12.749399425575302,13.309787868737994,14.37006226849731,9.633329906106198,3.594723367720412,-7.5941150656781895,0.015457049421659323,0.0062193796296338985,0.0004830923803116151,-0.0009976560118100369,-0.0005466243009156702,0.0006275375272417336,0.0020828744899788116,0.002399988979790658,0.0014432639894292282,-0.0016472629147363147,587.077153845094,574.5624996014095,538.0597165147681,517.5881416694225,502.0577314247405,493.6160182646893,492.8944758446301,498.4929281764799,512.9974468508381,524.3214502968707
hm100/microcapm_active_buy_volume_ratio_capm_abs_residual_mean_curvature,hm100,1212,0.05514455278293771,0.964165231267611,0.9999999999999999,0.32746554829526425,0.32746554829526425,0.9151515151515152,0.6226714393815006,0.6226714393815006,0.0005682123130294968,-62.40568017532367,-21.765570485166485,-2.9297696029761866,4.796114322146351,10.283849686911898,17.20437871090194,18.155536160411398,17.904135162883904,16.648851181341495,18.671626735233566,0.023614904084967293,0.008746271337341098,0.0019258051080547536,3.275587022643461e-05,-0.0003366079240170625,0.000775558720243819,0.002237147294172488,0.0032890102714998913,0.00513366980874643,0.00915782589867296,639.8917629231818,577.6507903972775,541.4849677734494,522.00998401902,507.7493252929783,505.1508532743975,510.41260780630796,498.7182320178717,479.7898895566561,480.9635633497751
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_corr_microcapm_large_trade_direction_v2_capm_residual_mean,hm100,1217,0.08587383680692241,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.5471149148221899,0.5471149148221899,0.0009555797936642424,-60.5516205871485,-32.724996537967485,-15.236196291417626,-2.3565822482845173,9.774191098083644,14.965242422497079,19.080850590467445,23.3764791218277,25.973634630505853,28.270289257000595,0.026009001640798605,0.01319932002426464,0.005828972394512925,0.001540222867812993,-0.00011747197473162694,0.0005733929733089102,0.0028194843946124796,0.006590382343456765,0.010966807404660706,0.0175081449445617,721.7448613396446,617.013338361099,571.1556953036974,535.4653681554248,509.85780863451083,480.38768620675,458.1497550557271,437.5716215211673,418.51898209597675,400.1555232901022
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_max_range_product,hm100,1180,-0.07623888094390882,-1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-1.0,0.4867417166720977,0.5132582833279024,-0.0008269043523931222,45.78127387308683,28.62877079514301,23.49077915381931,16.622629782749605,10.531116485734701,5.356602083659642,-3.0155512344976354,-10.987261223445351,-26.863743940444476,-49.26515141768728,-0.01813001414556651,-0.010811500893983009,-0.005780047519908168,-0.0017910066406663665,-0.0001935857436663745,-0.0001517653258083941,-0.0015401349360935738,-0.004652298121146727,-0.010819522284721316,-0.021542100979955323,534.0640422592982,431.8252743301147,452.5302736851644,479.230351088025,496.10765403853605,518.8565462909144,531.8834398829187,555.5211132950742,588.9958786920781,651.5054278636261
hm100/microcapm_active_buy_volume_ratio_capm_residual_zscore_mean_std,hm100,1217,0.04962788660170236,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.5017830421047053,0.5017830421047053,0.0006705107425881658,-38.79829444451384,-20.372279132937884,-11.477367029314292,-4.063328550626807,1.5181075950403327,6.746635594733324,13.206472745556567,18.750132776188373,20.517672175605323,24.507884327696125,0.013628295686099474,0.006472150585884635,0.003197957866250374,0.0011336397629652687,0.00013393709085001245,9.532637062272124e-05,0.0012016108388312474,0.003621023336784822,0.0066086663873964335,0.012864767933429173,655.4232616627155,579.9025732625124,549.072491148953,531.7004791227588,517.5361141009678,508.02524964538657,496.3979245375073,480.95751229118736,462.8121052399482,433.0626371906163
hm100/microcapm_active_buy_volume_ratio_rolling_alpha_mean_period_ratio,hm100,1215,-0.04082816686969273,-0.27027322737939297,-1.0,0.1658861899767485,-1.0,-0.8424242424242424,0.5629607637220491,0.43703923627795077,-0.0001982039002464206,20.80023502412158,19.87560628083627,19.875597811721065,15.64730337917345,9.483800259687143,-9.719865870929969,-26.665152547926024,-31.01578099226526,-18.27766888495187,-1.2493234123461432,-0.00859332120499419,-0.006754094564077389,-0.004896089161562391,-0.00229915693421358,-0.00033041311843050303,-0.0005286406342987606,-0.0035646467463501205,-0.0066038476569135075,-0.005682086973700039,-0.0013776659749057925,473.67922665920736,468.91989185030604,469.5708787324976,479.4147274898399,516.1674378310181,559.2933174549721,602.0454639962269,606.2232498214408,570.3461877493504,535.2843801385518
hm100/microcapm_active_buy_volume_ratio_rolling_beta_mean_p5,hm100,1217,0.05137368872511224,0.7201896885104939,0.32049821521104244,1.0,0.32049821521104244,0.9272727272727272,0.4138008163918422,0.4138008163918422,0.0003842944529299166,-12.436830300948603,-20.037638055836908,-19.30887925851102,-12.91314874805005,-5.266737818084711,1.8256772503399483,10.562174235484564,17.40105848763708,24.305414006568427,26.689843339357523,0.005453683660033616,0.007337178092497731,0.005374946039126428,0.002457129977300174,0.0004765152081966116,-0.000134370937562018,0.0009477511367815757,0.0037894262029660106,0.008813328392984291,0.016473806499857885,560.0994580390474,577.6208976351379,582.926710483492,574.2321137830421,557.614708883316,536.5603322986947,511.3936031793175,480.65527611589465,447.2734226552602,400.39260939038456
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_autocorr1,hm100,1217,-0.08139850090554059,-1.0,-1.0,-1.0,-1.0,-1.0,0.4036244202104241,0.5963755797895759,-0.0013485542945591107,27.816995493595268,25.232116033969042,21.51764795695906,17.970961857532284,15.08238745638367,11.833972713309468,5.102313879554206,-3.8017416662957215,-25.160011887533358,-86.66375016087422,-0.015331417627415925,-0.008956240920952895,-0.004999905731546394,-0.0023813554742174356,-0.000641193534600145,0.00041660240415146346,0.00020279022585508577,-0.0021981534846930418,-0.010638374545291446,-0.035522697922270724,426.02607986143494,454.15044228044957,467.9170029413492,474.4819646644263,482.63535620842754,493.40364959835586,506.83114493925177,537.570687890929,593.9846984145361,742.1786175702204
hm100/microcapm_active_buy_volume_ratio_rolling_residual_std_mean_corr_microcapm_large_trade_direction_v2_capm_abs_residual_mean,hm100,1217,-0.06366930450805389,-1.0,-1.0,-1.0,-1.0,-1.0,0.4145965871751537,0.5854034128248463,-0.0005251590214000527,23.495094555952864,19.59243541650863,18.466323879145854,16.503848364129546,14.31757054977539,11.301261235386646,3.9957849184986243,-5.469758157652973,-24.761399426341384,-67.12585108731082,-0.012117911689829059,-0.007216999311273849,-0.004281895131688443,-0.002038184334472946,-0.0005243567515937825,0.00028973200927107995,-0.0001592410088290325,-0.0027302974431215165,-0.009875247127984245,-0.02448974469713208,486.45642086615334,469.77485525527675,479.0336638094939,489.10533798079484,496.0811774186626,511.94001013082885,524.7851046918202,550.0633304019898,589.9414358554386,637.2217091773836
